dataset_tag,dataset,split,method,candidate_repeats,trial,seed,source,epochs,lr,result_path,status,original_wer,updated_wer,absolute_delta,relative_delta_pct
earnings22,earnings22,test,UFMR,1,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats1_seed123456_epoch1_lr1e-5.txt,complete,0.235239,0.194759,-0.040480,-17.21
earnings22,earnings22,test,UFMR,1,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats1_seed123457_epoch1_lr1e-5.txt,complete,0.235239,0.197537,-0.037702,-16.03
earnings22,earnings22,test,UFMR,1,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats1_seed123458_epoch1_lr1e-5.txt,complete,0.235239,0.195249,-0.039989,-17.00
earnings22,earnings22,test,UFMR,2,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats2_epoch1_lr1e-5.txt,complete,0.235218,0.192002,-0.043216,-18.37
earnings22,earnings22,test,UFMR,2,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats2_seed123457_epoch1_lr1e-5.txt,complete,0.235239,0.193248,-0.041991,-17.85
earnings22,earnings22,test,UFMR,2,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats2_seed123458_epoch1_lr1e-5.txt,complete,0.235218,0.192166,-0.043053,-18.30
earnings22,earnings22,test,UFMR,5,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats5_epoch1_lr1e-5.txt,complete,0.235239,0.187203,-0.048036,-20.42
earnings22,earnings22,test,UFMR,5,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats5_seed123457_epoch1_lr1e-5.txt,complete,0.235239,0.190184,-0.045054,-19.15
earnings22,earnings22,test,UFMR,5,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats5_seed123458_epoch1_lr1e-5.txt,complete,0.235218,0.189531,-0.045688,-19.42
earnings22,earnings22,test,UFMR,10,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats10_epoch1_lr1e-5.txt,complete,0.235218,0.187039,-0.048179,-20.48
earnings22,earnings22,test,UFMR,10,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats10_seed123457_epoch1_lr1e-5.txt,complete,0.235239,0.189858,-0.045381,-19.29
earnings22,earnings22,test,UFMR,10,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats10_seed123458_epoch1_lr1e-5.txt,complete,0.235218,0.186815,-0.048404,-20.58
earnings22,earnings22,test,UFMR,15,,,ROB-108 default reference,1,1e-5,exp/results/repro/UFMR/earnings22_epoch1_lr1e-5.txt,complete,0.235198,0.185589,-0.049609,-21.09
earnings22,earnings22,test,UFMR,15,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats15_seed123456_epoch1_lr1e-5.txt,complete,0.235218,0.186753,-0.048465,-20.60
earnings22,earnings22,test,UFMR,15,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats15_seed123457_epoch1_lr1e-5.txt,complete,0.235218,0.186059,-0.049160,-20.90
earnings22,earnings22,test,UFMR,15,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats15_seed123458_epoch1_lr1e-5.txt,complete,0.235239,0.189653,-0.045585,-19.38
earnings22,earnings22,test,UFMR,20,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats20_epoch1_lr1e-5.txt,complete,0.235239,0.186161,-0.049078,-20.86
earnings22,earnings22,test,UFMR,20,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats20_seed123457_epoch1_lr1e-5.txt,complete,0.235239,0.186651,-0.048588,-20.65
earnings22,earnings22,test,UFMR,20,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats20_seed123458_epoch1_lr1e-5.txt,complete,0.235239,0.187693,-0.047546,-20.21
earnings22,earnings22,test,UFMR,40,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats40_epoch1_lr1e-5.txt,complete,0.235198,0.184650,-0.050548,-21.49
earnings22,earnings22,test,UFMR,40,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats40_seed123457_epoch1_lr1e-5.txt,complete,0.235218,0.186467,-0.048751,-20.73
earnings22,earnings22,test,UFMR,40,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats40_seed123458_epoch1_lr1e-5.txt,complete,0.235239,0.185467,-0.049772,-21.16
earnings22,earnings22,test,UFMR,100,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats100_epoch1_lr1e-5.txt,complete,0.235218,0.185814,-0.049405,-21.00
earnings22,earnings22,test,UFMR,100,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats100_seed123457_epoch1_lr1e-5.txt,complete,0.235218,0.184874,-0.050344,-21.40
earnings22,earnings22,test,UFMR,100,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/earnings22_test_candidate_repeats100_seed123458_epoch1_lr1e-5.txt,complete,0.235239,0.185140,-0.050099,-21.30
